loss,optimizer,lr,hidden,reg,params,val_acc,final_val_loss,final_train_loss
softmax,sgd,0.01,512,0.01,1208840,0.806,5.298752724230531,5.450470788832044
softmax,momentum,0.001,128,0.0001,302216,0.602,1.0447429132054378,0.8628596330811646
softmax,momentum,0.001,128,0.001,302216,0.602,1.1672373770424331,0.9854404494343858
softmax,momentum,0.001,128,0.01,302216,0.602,2.3808641300522937,2.2002085583711537
softmax,momentum,0.001,256,0.0001,604424,0.628,1.0384513909324238,0.7291039359798258
softmax,momentum,0.001,256,0.001,604424,0.628,1.276183134987505,0.966910795602191
softmax,momentum,0.001,256,0.01,604424,0.628,3.6313656917237935,3.3226138089845962
softmax,momentum,0.001,512,0.0001,1208840,0.66,0.9865063650272545,1.5268346970624438
softmax,momentum,0.001,512,0.001,1208840,0.66,1.454500763539134,1.994646098126423
softmax,momentum,0.001,512,0.01,1208840,0.66,6.0910086218561315,6.629644929976379
softmax,momentum,0.005,128,0.0001,302216,0.74,0.700930038349144,0.3868086963298256
softmax,momentum,0.005,128,0.001,302216,0.74,0.8234071294404457,0.5094596931671849
softmax,momentum,0.005,128,0.01,302216,0.744,1.9939607453417674,1.6863339938314539
softmax,momentum,0.005,256,0.0001,604424,0.776,0.6694486843847522,0.45452191842890327
softmax,momentum,0.005,256,0.001,604424,0.776,0.9069061056980873,0.6932800183077403
softmax,momentum,0.005,256,0.01,604424,0.776,3.174628623973395,2.9638009645888683
softmax,momentum,0.005,512,0.0001,1208840,0.758,0.6830358569641417,1.0058270965764273
softmax,momentum,0.005,512,0.001,1208840,0.762,1.14980631795609,1.4730152030930044
softmax,momentum,0.005,512,0.01,1208840,0.76,5.604711502377305,5.931245996348703
softmax,momentum,0.01,128,0.0001,302216,0.774,0.6107810730530382,0.2780604025477368
softmax,momentum,0.01,128,0.001,302216,0.778,0.7331892061789046,0.40161825201775114
softmax,momentum,0.01,128,0.01,302216,0.778,1.8529724279937976,1.5295599674920406
softmax,momentum,0.01,256,0.0001,604424,0.81,0.5705147140518424,0.3393585932794173
softmax,momentum,0.01,256,0.001,604424,0.81,0.8077395227849755,0.5759820938249791
softmax,momentum,0.01,256,0.01,604424,0.806,2.970761996964661,2.7548259658499767
softmax,momentum,0.01,512,0.0001,1208840,0.79,0.6140509019881719,0.7233408505445064
softmax,momentum,0.01,512,0.001,1208840,0.79,1.0791192952761888,1.190431694628952
softmax,momentum,0.01,512,0.01,1208840,0.794,5.316645722450554,5.450092011974063
hinge,adam,0.001,128,0.0001,302216,0.812,0.8785890271923075,0.015683552465708718
hinge,adam,0.001,128,0.001,302216,0.804,1.0027474052090997,0.1449102794287512
hinge,adam,0.001,128,0.01,302216,0.794,1.5699873976831413,0.7263538163668839
hinge,adam,0.001,256,0.0001,604424,0.838,0.9052426293042481,0.03637326234539515
hinge,adam,0.001,256,0.001,604424,0.818,1.1618067366025804,0.284660071999572
hinge,adam,0.001,256,0.01,604424,0.806,2.034758507892981,1.229548693515827
hinge,adam,0.001,512,0.0001,1208840,0.83,1.0735336155144648,0.05772598071389031
hinge,adam,0.001,512,0.001,1208840,0.828,1.540120216504002,0.6506581766744921
hinge,adam,0.001,512,0.01,1208840,0.808,2.1076209016387675,1.1746279111859472
hinge,adam,0.005,128,0.0001,302216,0.8,1.900540662609888,0.045072300073594355
hinge,adam,0.005,128,0.001,302216,0.784,2.0487040783813413,1.1752909179443005
hinge,adam,0.005,128,0.01,302216,0.756,2.034642723061529,1.1999487254610601
hinge,adam,0.005,256,0.0001,604424,0.758,3.1063977265763083,0.08766417633793899
hinge,adam,0.005,256,0.001,604424,0.782,2.9500088909764344,1.531156445761454
hinge,adam,0.005,256,0.01,604424,0.748,2.1789464459872407,1.80675209078741
hinge,adam,0.005,512,0.0001,1208840,0.802,3.733755839973601,0.47811659078988045
hinge,adam,0.005,512,0.001,1208840,0.792,3.9535670597211183,1.9954347144528397
hinge,adam,0.005,512,0.01,1208840,0.742,2.7187148757813304,6.282977383364571
hinge,adam,0.01,128,0.0001,302216,0.776,4.267992101919575,0.7632619808487009
hinge,adam,0.01,128,0.001,302216,0.792,3.0856112466811774,0.782470572470911
hinge,adam,0.01,128,0.01,302216,0.746,2.4915763706606686,1.0077365304713681
hinge,adam,0.01,256,0.0001,604424,0.804,5.367830559793976,0.4474264307478499
hinge,adam,0.01,256,0.001,604424,0.768,10.700260198519722,6.1598782393643265
hinge,adam,0.01,256,0.01,604424,0.674,4.666298501942993,6.093322009253564
hinge,adam,0.01,512,0.0001,1208840,0.8,14.296927997417717,1.6028130290827804
hinge,adam,0.01,512,0.001,1208840,0.772,12.981300436051093,5.708356198408355
hinge,adam,0.01,512,0.01,1208840,0.782,4.590846730117596,6.4793369288129306
hinge,sgd,0.001,128,0.0001,302216,0.708,1.2612918332803094,0.48985695696277054
hinge,sgd,0.001,128,0.001,302216,0.708,1.3835387253347369,0.6105823613125513
hinge,sgd,0.001,128,0.01,302216,0.706,2.5942925519646356,1.8187814288971382
hinge,sgd,0.001,256,0.0001,604424,0.716,1.2147417167561043,0.6584416216667558
hinge,sgd,0.001,256,0.001,604424,0.716,1.4506438786983815,0.8939958284126581
hinge,sgd,0.001,256,0.01,604424,0.714,3.8040947462014048,3.2587545075076463
